gk_name,zone_x,zone_y,pass_count,avg_length,complete_count,zone_label,accuracy
Thomas Strakosha,9,8,1,79.1,0,Opp Att 3rd Right,0.0
Thomas Strakosha,10,2,1,88.8,0,Opp Att 3rd Left,0.0
Unai Simón Mendibil,1,4,1,6.0,1,Own 6yd Center,100.0
Unai Simón Mendibil,1,5,1,6.3,1,Own 6yd Center,100.0
Unai Simón Mendibil,1,6,3,17.1,3,Own 6yd Right-Center,100.0
Unai Simón Mendibil,2,3,4,15.3,4,Own Box Left-Center,100.0
Unai Simón Mendibil,2,4,1,9.4,1,Own Box Center,100.0
Unai Simón Mendibil,2,5,1,11.4,1,Own Box Center,100.0
Unai Simón Mendibil,2,6,3,14.5,3,Own Box Right-Center,100.0
Unai Simón Mendibil,3,3,1,21.3,1,Own Def 3rd Left-Center,100.0
Unai Simón Mendibil,4,3,1,31.1,1,Own Def 3rd Left-Center,100.0
Unai Simón Mendibil,6,4,1,46.4,1,Own Mid 3rd Center,100.0
Unai Simón Mendibil,6,6,1,47.3,1,Own Mid 3rd Right-Center,100.0
Unai Simón Mendibil,7,6,1,56.4,0,Opp Mid 3rd Right-Center,0.0
Unai Simón Mendibil,8,1,4,76.6,2,Opp Mid 3rd Left,50.0
Unai Simón Mendibil,8,2,2,72.6,0,Opp Mid 3rd Left,0.0
Unai Simón Mendibil,8,6,2,72.6,0,Opp Mid 3rd Right-Center,0.0
Unai Simón Mendibil,8,7,3,74.3,1,Opp Mid 3rd Right,33.3
Unai Simón Mendibil,8,8,2,73.9,0,Opp Mid 3rd Right,0.0
Unai Simón Mendibil,9,1,1,81.9,1,Opp Att 3rd Left,100.0
Unai Simón Mendibil,10,1,2,94.2,0,Opp Att 3rd Left,0.0
Wojciech Szczęsny,1,3,1,9.9,1,Own 6yd Left-Center,100.0
Wojciech Szczęsny,1,4,1,6.6,1,Own 6yd Center,100.0
Wojciech Szczęsny,2,6,1,20.9,1,Own Box Right-Center,100.0
Wojciech Szczęsny,3,6,1,21.5,1,Own Def 3rd Right-Center,100.0
Wojciech Szczęsny,3,8,1,35.0,1,Own Def 3rd Right,100.0
Wojciech Szczęsny,5,8,1,59.8,1,Own Mid 3rd Right,100.0
Wojciech Szczęsny,7,5,1,64.9,0,Opp Mid 3rd Center,0.0
Wojciech Szczęsny,8,3,1,70.4,0,Opp Mid 3rd Left-Center,0.0
Wojciech Szczęsny,8,6,4,70.4,0,Opp Mid 3rd Right-Center,0.0
Yann Sommer,1,4,2,8.6,2,Own 6yd Center,100.0
Yann Sommer,2,2,1,22.3,1,Own Box Left,100.0
Yann Sommer,2,4,1,14.1,1,Own Box Center,100.0
Yann Sommer,2,7,1,26.3,1,Own Box Right,100.0
Yann Sommer,2,8,1,29.2,1,Own Box Right,100.0
Yann Sommer,3,1,1,36.5,1,Own Def 3rd Left,100.0
Yann Sommer,4,7,1,38.0,1,Own Def 3rd Right,100.0
Yann Sommer,6,5,1,49.7,0,Own Mid 3rd Center,0.0
Yann Sommer,7,3,1,57.8,0,Opp Mid 3rd Left-Center,0.0
Yann Sommer,7,7,1,63.8,0,Opp Mid 3rd Right,0.0
Yann Sommer,7,8,2,66.4,1,Opp Mid 3rd Right,50.0
Yann Sommer,8,7,2,73.2,0,Opp Mid 3rd Right,0.0
Yann Sommer,8,8,1,77.1,0,Opp Mid 3rd Right,0.0
Yann Sommer,9,6,1,82.6,0,Opp Att 3rd Right-Center,0.0
Yann Sommer,9,7,1,77.1,0,Opp Att 3rd Right,0.0
Łukasz Skorupski,1,3,1,8.3,1,Own 6yd Left-Center,100.0
Łukasz Skorupski,1,4,1,5.0,1,Own 6yd Center,100.0
Łukasz Skorupski,1,5,1,12.0,1,Own 6yd Center,100.0
Łukasz Skorupski,2,3,2,15.2,2,Own Box Left-Center,100.0
Łukasz Skorupski,2,4,2,7.2,2,Own Box Center,100.0
Łukasz Skorupski,3,4,1,19.5,1,Own Def 3rd Center,100.0
Łukasz Skorupski,7,4,1,58.9,1,Opp Mid 3rd Center,100.0
Łukasz Skorupski,8,7,1,78.0,0,Opp Mid 3rd Right,0.0
Łukasz Skorupski,9,4,2,78.4,0,Opp Att 3rd Center,0.0
Łukasz Skorupski,9,6,1,80.9,1,Opp Att 3rd Right-Center,100.0
