gk_name,rank,metric,z_score,weight
Bart Verbruggen,16,Goals Prevented,-0.4587,0.35
Bart Verbruggen,16,Sweeper/Match,-0.5768,0.15
Bart Verbruggen,16,Claims/Match,0.0,0.1
Bart Verbruggen,16,Goals Conceded (inv.),-0.4746,0.1
Bart Verbruggen,16,Goals Prev./Match,-0.2572,0.0
Bart Verbruggen,16,xG Faced (inv.),-0.1349,0.0
Florin Constantin Niţă,17,Save %,-0.0419,0.3
Florin Constantin Niţă,17,Goals Prevented,-0.5879,0.35
Florin Constantin Niţă,17,Sweeper/Match,-0.0812,0.15
Florin Constantin Niţă,17,Claims/Match,0.0,0.1
Florin Constantin Niţă,17,Goals Conceded (inv.),-0.4746,0.1
Florin Constantin Niţă,17,Goals Prev./Match,-0.392,0.0
Florin Constantin Niţă,17,xG Faced (inv.),-0.0486,0.0
Patrick Pentz,18,Save %,-1.6808,0.3
Patrick Pentz,18,Goals Prevented,0.0677,0.35
Patrick Pentz,18,Sweeper/Match,0.5135,0.15
Patrick Pentz,18,Claims/Match,0.0,0.1
Patrick Pentz,18,Goals Conceded (inv.),-0.0365,0.1
Patrick Pentz,18,Goals Prev./Match,0.1773,0.0
Patrick Pentz,18,xG Faced (inv.),-0.0792,0.0
Péter Gulácsi,19,Save %,-0.7352,0.3
Péter Gulácsi,19,Goals Prevented,-1.1352,0.35
Péter Gulácsi,19,Sweeper/Match,0.8109,0.15
Péter Gulácsi,19,Claims/Match,0.0,0.1
Péter Gulácsi,19,Goals Conceded (inv.),-0.0365,0.1
Péter Gulácsi,19,Goals Prev./Match,-1.0854,0.0
Péter Gulácsi,19,xG Faced (inv.),0.7242,0.0
Jordan Pickford,20,Save %,-0.3886,0.3
Jordan Pickford,20,Goals Prevented,-0.2376,0.35
Jordan Pickford,20,Sweeper/Match,-0.8883,0.15
Jordan Pickford,20,Claims/Match,0.0,0.1
Jordan Pickford,20,Goals Conceded (inv.),-1.7889,0.1
Jordan Pickford,20,Goals Prev./Match,-0.1411,0.0
Jordan Pickford,20,xG Faced (inv.),-1.5046,0.0
Dominik Livaković,21,Save %,-1.1513,0.3
Dominik Livaković,21,Goals Prevented,-1.6746,0.35
Dominik Livaković,21,Sweeper/Match,2.0004,0.15
Dominik Livaković,21,Claims/Match,0.0,0.1
Dominik Livaković,21,Goals Conceded (inv.),-0.4746,0.1
Dominik Livaković,21,Goals Prev./Match,-1.7099,0.0
Dominik Livaković,21,xG Faced (inv.),0.6772,0.0
Angus Gunn,22,Save %,-0.6659,0.3
Angus Gunn,22,Goals Prevented,-2.3105,0.35
Angus Gunn,22,Sweeper/Match,2.7933,0.15
Angus Gunn,22,Claims/Match,0.0,0.1
Angus Gunn,22,Goals Conceded (inv.),-0.9127,0.1
Angus Gunn,22,Goals Prev./Match,-2.4461,0.0
Angus Gunn,22,xG Faced (inv.),0.6946,0.0
Wojciech Szczęsny,23,Save %,-1.0019,0.3
Wojciech Szczęsny,23,Goals Prevented,-1.5185,0.35
Wojciech Szczęsny,23,Sweeper/Match,-0.3785,0.15
Wojciech Szczęsny,23,Claims/Match,0.0,0.1
Wojciech Szczęsny,23,Goals Conceded (inv.),-0.0365,0.1
Wojciech Szczęsny,23,Goals Prev./Match,-2.1877,0.0
Wojciech Szczęsny,23,xG Faced (inv.),0.9803,0.0
Yann Sommer,24,Save %,-2.4075,0.3
Yann Sommer,24,Goals Prevented,-0.6268,0.35
Yann Sommer,24,Sweeper/Match,-0.6164,0.15
Yann Sommer,24,Claims/Match,0.0,0.1
Yann Sommer,24,Goals Conceded (inv.),-1.7889,0.1
Yann Sommer,24,Goals Prev./Match,-0.383,0.0
Yann Sommer,24,xG Faced (inv.),-1.2447,0.0
