gk_name,team,match_id,minute,period,action_type,action_category,action_outcome,action_x,action_y,body_part,technique
Jan Oblak,Slovenia,3941020,83,2,Keeper Sweeper,Sweeper,Claim,9.9,27.9,,
Jan Oblak,Slovenia,3941020,88,2,Shot Saved,Save,Saved Twice,3.9,44.2,Right Foot,Standing
Jan Oblak,Slovenia,3941020,91,3,Shot Faced,Save,,3.1,40.6,,
Diogo Meireles Costa,Portugal,3941020,94,3,Shot Faced,Save,,3.3,41.4,,
Diogo Meireles Costa,Portugal,3941020,95,3,Shot Faced,Save,,2.5,39.1,,
Jan Oblak,Slovenia,3941020,99,3,Shot Saved,Save,Success,1.0,38.6,Both Hands,Standing
Jan Oblak,Slovenia,3941020,104,3,Penalty Saved to Post,Save,Touched Out,1.0,40.0,Both Hands,Diving
Jan Oblak,Slovenia,3941020,107,4,Shot Saved,Save,Touched Out,1.2,40.6,Both Hands,Standing
Jan Oblak,Slovenia,3941020,107,4,Shot Faced,Save,,1.0,39.1,,
Diogo Meireles Costa,Portugal,3941020,111,4,Shot Faced,Save,,0.9,40.1,,
Diogo Meireles Costa,Portugal,3941020,114,4,Shot Saved,Save,In Play Danger,11.6,43.6,Left Foot,Standing
Diogo Meireles Costa,Portugal,3941020,114,4,Shot Faced,Save,,13.4,42.7,,
Jan Oblak,Slovenia,3941020,118,4,Keeper Sweeper,Sweeper,Claim,13.6,50.1,,
Jan Oblak,Slovenia,3941020,119,4,Shot Faced,Save,,1.6,41.1,,
Jan Oblak,Slovenia,3941020,119,4,Shot Faced,Save,,1.8,40.4,,
Diogo Meireles Costa,Portugal,3941020,120,5,Penalty Saved,Save,In Play Safe,1.0,40.0,Both Hands,Diving
Jan Oblak,Slovenia,3941020,120,5,Penalty Conceded,Other,No Touch,1.0,40.0,,Diving
