gk_name,team,match_id,minute,period,action_type,action_category,action_outcome,action_x,action_y,body_part,technique
Kasper Schmeichel,Denmark,3930171,55,2,Shot Faced,Save,,2.9,36.0,,
Kasper Schmeichel,Denmark,3930171,58,2,Shot Faced,Save,,2.5,36.7,,
Jordan Pickford,England,3930171,63,2,Shot Faced,Save,,2.1,39.3,,
Jordan Pickford,England,3930171,66,2,Shot Saved,Save,Saved Twice,1.1,41.8,Both Hands,Standing
Kasper Schmeichel,Denmark,3930171,70,2,Shot Saved,Save,Touched Out,3.8,31.8,Right Foot,Standing
Jordan Pickford,England,3930171,72,2,Shot Saved,Save,In Play Safe,2.7,41.7,Both Hands,Standing
Jordan Pickford,England,3930171,76,2,Shot Saved,Save,Saved Twice,2.0,39.4,Both Hands,Standing
Jordan Pickford,England,3930171,83,2,Shot Faced,Save,,0.8,39.9,,
Jordan Pickford,England,3930171,84,2,Shot Faced,Save,,1.7,41.1,,
Unai Simón Mendibil,Spain,3942226,0,1,Keeper Sweeper,Sweeper,Claim,16.3,36.7,,
Manuel Neuer,Germany,3942226,0,1,Shot Saved,Save,Success,1.5,39.7,Both Hands,Standing
Manuel Neuer,Germany,3942226,11,1,Shot Faced,Save,,1.4,42.1,,
Manuel Neuer,Germany,3942226,14,1,Shot Faced,Save,,0.8,40.8,,
Manuel Neuer,Germany,3942226,15,1,Shot Faced,Save,,1.3,42.4,,
Manuel Neuer,Germany,3942226,16,1,Shot Faced,Save,,1.4,39.0,,
Unai Simón Mendibil,Spain,3942226,20,1,Shot Saved,Save,Success,0.9,39.9,Both Hands,Standing
Manuel Neuer,Germany,3942226,22,1,Shot Saved,Save,Saved Twice,2.8,42.4,Both Hands,Standing
Unai Simón Mendibil,Spain,3942226,24,1,Shot Faced,Save,,0.7,40.5,,
Unai Simón Mendibil,Spain,3942226,33,1,Collected,Other,Success,4.6,38.4,,
Unai Simón Mendibil,Spain,3942226,34,1,Shot Saved,Save,Success,4.9,40.5,Both Hands,Standing
Manuel Neuer,Germany,3942226,38,1,Shot Saved,Save,In Play Danger,1.5,41.1,Both Hands,Standing
Manuel Neuer,Germany,3942226,41,1,Keeper Sweeper,Sweeper,Claim,9.6,53.4,,
Manuel Neuer,Germany,3942226,44,1,Shot Saved,Save,Success,1.7,40.2,Both Hands,Standing
Manuel Neuer,Germany,3942226,46,2,Shot Faced,Save,,0.8,38.5,,
Unai Simón Mendibil,Spain,3942226,47,2,Shot Faced,Save,,1.1,38.0,,
Manuel Neuer,Germany,3942226,51,2,Goal Conceded,Other,No Touch,1.3,38.6,,Diving
Unai Simón Mendibil,Spain,3942226,52,2,Punch,Punch,In Play Safe,2.7,41.9,,
Unai Simón Mendibil,Spain,3942226,54,2,Shot Faced,Save,,1.3,39.0,,
Manuel Neuer,Germany,3942226,54,2,Shot Faced,Save,,3.2,37.1,,
Unai Simón Mendibil,Spain,3942226,59,2,Shot Faced,Save,,1.2,38.7,,
Unai Simón Mendibil,Spain,3942226,63,2,Shot Faced,Save,,0.6,39.6,,
Unai Simón Mendibil,Spain,3942226,64,2,Collected,Other,Success,8.5,42.3,,
Unai Simón Mendibil,Spain,3942226,66,2,Keeper Sweeper,Sweeper,Claim,8.3,44.3,,
Unai Simón Mendibil,Spain,3942226,69,2,Shot Saved,Save,In Play Danger,1.1,38.9,Both Hands,Standing
Unai Simón Mendibil,Spain,3942226,71,2,Shot Faced,Save,,1.1,41.6,,
Unai Simón Mendibil,Spain,3942226,71,2,Shot Faced,Save,,0.5,40.1,,
Unai Simón Mendibil,Spain,3942226,76,2,Shot Faced,Save,,2.2,37.8,,
Manuel Neuer,Germany,3942226,78,2,Keeper Sweeper,Sweeper,Clear,57.6,26.7,Right Foot,
Unai Simón Mendibil,Spain,3942226,80,2,Shot Faced,Save,,1.4,42.8,,
Unai Simón Mendibil,Spain,3942226,81,2,Shot Faced,Save,,13.9,50.3,,
Manuel Neuer,Germany,3942226,83,2,Shot Faced,Save,,1.2,41.2,,
Unai Simón Mendibil,Spain,3942226,87,2,Shot Faced,Save,,1.2,39.2,,
Unai Simón Mendibil,Spain,3942226,88,2,Goal Conceded,Other,No Touch,1.2,36.8,,Standing
