match_id,shooter,shooting_team,goalkeeper,xg,outcome,shot_x,shot_y,minute,period,is_goal,is_save,is_on_target,distance_to_goal,danger_zone
3930159,Ruben Vargas,Switzerland,Péter Gulácsi,0.4467,Saved,107.1,47.2,19,1,0,1,1,14.773286702694163,Penalty area close
3930159,Fabian Lukas Schär,Switzerland,Péter Gulácsi,0.0172,Blocked,93.4,51.8,21,1,0,0,0,29.099828178186886,Outside box
3930159,Fabian Lukas Schär,Switzerland,Péter Gulácsi,0.0533,Blocked,103.4,50.1,28,1,0,0,0,19.431160541768982,Penalty area edge
3930159,Willi Orban,Hungary,Yann Sommer,0.1436,Saved,111.3,39.9,39,1,0,1,1,8.700574693662485,6-yard box
3930159,Michel Aebischer,Switzerland,Péter Gulácsi,0.0356,Goal,96.0,34.5,44,1,1,0,1,24.62214450449026,Penalty area edge
3930159,Kwadwo Duah,Switzerland,Péter Gulácsi,0.0609,Blocked,110.1,51.0,46,2,0,0,0,14.798986451781085,Penalty area close
3930159,Kwadwo Duah,Switzerland,Péter Gulácsi,0.1089,Saved,105.0,29.0,47,2,0,1,1,18.601075237738275,Penalty area edge
3930159,Ruben Vargas,Switzerland,Péter Gulácsi,0.1247,Saved,108.6,30.2,53,2,0,1,1,15.033296378372913,Penalty area close
3930159,Dan Ndoye,Switzerland,Péter Gulácsi,0.0316,Off T,96.4,50.9,57,2,0,0,0,25.995576546789643,Outside box
3930159,Barnabás Varga,Hungary,Yann Sommer,0.1546,Off T,111.8,42.5,62,2,0,0,0,8.57263086805912,6-yard box
3930159,Barnabás Varga,Hungary,Yann Sommer,0.5797,Goal,115.5,42.1,65,2,1,0,1,4.965883607174056,6-yard box
3930159,Roland Sallai,Hungary,Yann Sommer,0.0841,Blocked,104.9,35.6,68,2,0,0,0,15.728000508646984,Penalty area close
3930159,Dan Ndoye,Switzerland,Péter Gulácsi,0.0527,Blocked,108.7,25.6,70,2,0,0,0,18.30437106267243,Penalty area edge
3930159,Fabian Lukas Schär,Switzerland,Péter Gulácsi,0.1198,Off T,113.3,42.4,71,2,0,0,0,7.116881339463236,6-yard box
3930159,Dan Ndoye,Switzerland,Péter Gulácsi,0.1483,Off T,105.0,49.0,82,2,0,0,0,17.4928556845359,Penalty area close
3930159,Vincent Sierro,Switzerland,Péter Gulácsi,0.0205,Blocked,91.4,28.3,88,2,0,0,0,30.900647242412248,Outside box
3930159,Granit Xhaka,Switzerland,Péter Gulácsi,0.0442,Saved,116.5,49.9,89,2,0,1,1,10.500476179678708,Penalty area close
3930159,Breel-Donald Embolo,Switzerland,Péter Gulácsi,0.4427,Goal,104.3,41.5,92,2,1,0,1,15.771493271088826,Penalty area close
3930163,Jude Bellingham,England,Predrag Rajković,0.2891,Goal,113.4,39.5,12,1,1,0,1,6.618912297349159,6-yard box
3930163,Trent Alexander-Arnold,England,Predrag Rajković,0.0258,Off T,95.8,51.0,18,1,0,0,0,26.58270114190806,Outside box
3930163,Aleksandar Mitrović,Serbia,Jordan Pickford,0.0955,Off T,103.0,47.3,19,1,0,0,0,18.501081049495458,Penalty area edge
3930163,Dušan Vlahović,Serbia,Jordan Pickford,0.0372,Blocked,98.9,46.6,22,1,0,0,0,22.108143296079835,Penalty area edge
3930163,Trent Alexander-Arnold,England,Predrag Rajković,0.0535,Blocked,92.2,46.3,29,1,0,0,0,28.504911857432568,Outside box
3930163,Trent Alexander-Arnold,England,Predrag Rajković,0.023,Saved,90.8,50.6,55,2,0,1,1,31.064449134018137,Outside box
3930163,Harry Kane,England,Predrag Rajković,0.1673,Saved to Post,114.8,36.2,76,2,0,0,0,6.440496875241848,6-yard box
3930163,Dušan Vlahović,Serbia,Jordan Pickford,0.0452,Saved,96.9,32.1,81,2,0,1,1,24.413520843991343,Penalty area edge
3930163,Veljko Birmančević,Serbia,Jordan Pickford,0.0332,Blocked,98.1,35.4,82,2,0,0,0,22.37789087470042,Penalty area edge
3930163,Sergej Milinković-Savić,Serbia,Jordan Pickford,0.0154,Off T,89.8,27.7,88,2,0,0,0,32.608741159388536,Outside box
3930163,Ivan Ilić,Serbia,Jordan Pickford,0.0229,Blocked,90.5,30.5,92,2,0,0,0,30.99193443462347,Outside box
3930181,Benjamin Šeško,Slovenia,Jordan Pickford,0.0689,Saved,108.3,38.4,4,1,0,1,1,11.808894952534724,Penalty area close
3930181,Andraž Šporar,Slovenia,Jordan Pickford,0.0427,Saved Off Target,95.3,42.9,18,1,0,0,0,24.86966023089178,Penalty area edge
3930181,Harry Kane,England,Jan Oblak,0.0428,Blocked,102.6,38.8,29,1,0,0,0,17.441330224498365,Penalty area close
3930181,Harry Kane,England,Jan Oblak,0.028,Blocked,107.8,35.8,30,1,0,0,0,12.902712893031453,Penalty area close
3930181,Harry Kane,England,Jan Oblak,0.02,Saved,98.9,22.2,30,1,0,1,1,27.60525312327347,Outside box
