match_id,player_name,team_name,type_name,gk_name,xg,outcome,shot_x,shot_y
3930181,Harry Kane,England,Shot,Jan Oblak,0.027990201,Blocked,107.8,35.8
3930181,Harry Kane,England,Shot,Jan Oblak,0.020003181,Saved,98.9,22.2
3930181,Andraž Šporar,Slovenia,Shot,Jordan Pickford,0.025362415,Blocked,92.8,35.5
3930181,Phil Foden,England,Shot,Jan Oblak,0.02118464,Saved,89.4,52.7
3930181,Harry Kane,England,Shot,Jan Oblak,0.39533535,Off T,115.7,43.3
3930181,Harry Kane,England,Shot,Jan Oblak,0.022610057,Blocked,89.8,50.8
3930181,Phil Foden,England,Shot,Jan Oblak,0.011521615,Off T,88.6,43.7
3930181,John Stones,England,Shot,Jan Oblak,0.07156796,Blocked,112.0,40.9
3930181,Adam Gnezda Čerin,Slovenia,Shot,Jordan Pickford,0.027896708,Off T,92.3,51.6
3930181,Declan Rice,England,Shot,Jan Oblak,0.035136804,Off T,106.7,23.3
3930181,Phil Foden,England,Shot,Jan Oblak,0.038287748,Blocked,97.7,32.1
3930181,Cole Palmer,England,Shot,Jan Oblak,0.0473352,Saved,103.2,55.2
3930181,Trent Alexander-Arnold,England,Shot,Jan Oblak,0.02242279,Off T,90.1,44.8
3930178,Luka Sučić,Croatia,Shot,Gianluigi Donnarumma,0.021476122,Saved,91.7,51.0
3930178,Lorenzo Pellegrini,Italy,Shot,Dominik Livaković,0.040648647,Off T,103.9,30.6
3930178,Mateo Retegui,Italy,Shot,Dominik Livaković,0.11477187,Blocked,113.2,41.4
3930178,Mateo Retegui,Italy,Shot,Dominik Livaković,0.050440855,Blocked,106.2,36.1
3930178,Mateo Retegui,Italy,Shot,Dominik Livaković,0.02528777,Blocked,111.3,25.7
3930178,Alessandro Bastoni,Italy,Shot,Dominik Livaković,0.14318198,Saved,113.0,33.8
3930178,Luka Modrić,Croatia,Shot,Gianluigi Donnarumma,0.020104777,Blocked,99.8,54.3
3930178,Lorenzo Pellegrini,Italy,Shot,Dominik Livaković,0.027555797,Saved,103.4,27.1
3930178,Andrej Kramarić,Croatia,Shot,Gianluigi Donnarumma,0.024291756,Blocked,107.2,26.5
