match_id,player,team,gk_name,outcome,is_goal,xg,shot_x,shot_y,gk_x,gk_y,dist_off_line,lateral_offset,dist_to_shot,extreme_position,own_keeper_advanced
3930160,Mateo Kovačić,Croatia,Unai Simón Mendibil,Off T,0,0.019094488,91.0,30.4,118.6,39.8,1.4,-0.2,29.16,False,False
3930160,Lamine Yamal Nasraoui Ebana,Spain,Dominik Livaković,Blocked,0,0.042338703,91.3,45.4,119.5,40.0,0.5,0.0,28.71,False,False
3930160,Daniel Olmo Carvajal,Spain,Dominik Livaković,Blocked,0,0.027441183,93.9,39.0,117.8,39.9,2.2,-0.1,23.92,False,False
3930160,Álvaro Borja Morata Martín,Spain,Dominik Livaković,Saved,0,0.05367552,98.8,47.5,119.0,40.9,1.0,0.9,21.25,False,False
3930160,Joško Gvardiol,Croatia,Unai Simón Mendibil,Blocked,0,0.018449154,101.2,24.0,118.5,37.1,1.5,-2.9,21.7,False,False
3930160,Ivan Perišić,Croatia,Unai Simón Mendibil,Blocked,0,0.035310246,101.4,28.7,116.4,37.6,3.6,-2.4,17.44,False,False
3930160,Marcelo Brozović,Croatia,Unai Simón Mendibil,Saved,0,0.07775181,101.8,40.2,117.4,40.5,2.6,0.5,15.6,False,False
3930160,Mateo Kovačić,Croatia,Unai Simón Mendibil,Saved,0,0.06378076,102.8,38.7,116.8,40.6,3.2,0.6,14.13,False,False
3930160,Fabián Ruiz Peña,Spain,Dominik Livaković,Goal,1,0.056130085,103.9,38.7,117.6,38.7,2.4,-1.3,13.7,False,False
3930160,Álvaro Borja Morata Martín,Spain,Dominik Livaković,Goal,1,0.4253404,104.1,39.9,113.1,39.9,6.9,-0.1,9.0,False,False
3930160,Lamine Yamal Nasraoui Ebana,Spain,Dominik Livaković,Saved Off Target,0,0.04807823,106.5,49.9,117.1,43.0,2.9,3.0,12.65,False,False
3930160,Ante Budimir,Croatia,Unai Simón Mendibil,Off T,0,0.048898492,107.7,39.3,118.8,41.1,1.2,1.1,11.24,False,False
3930160,Ivan Perišić,Croatia,Unai Simón Mendibil,Off T,0,0.019089911,107.8,27.5,119.7,37.8,0.3,-2.2,15.74,False,False
3930160,Lamine Yamal Nasraoui Ebana,Spain,Dominik Livaković,Saved,0,0.28168085,108.6,48.3,116.5,43.1,3.5,3.1,9.46,False,False
3930160,Ferrán Torres García,Spain,Dominik Livaković,Blocked,0,0.012741043,109.6,57.8,117.8,45.2,2.2,5.2,15.03,False,False
3930160,Josip Stanišić,Croatia,Unai Simón Mendibil,Blocked,0,0.22294979,111.9,47.8,118.5,41.4,1.5,1.4,9.19,False,False
3930160,Daniel Carvajal Ramos,Spain,Dominik Livaković,Goal,1,0.30100337,112.7,42.4,119.0,40.4,1.0,0.4,6.61,False,False
3930160,Joško Gvardiol,Croatia,Unai Simón Mendibil,Off T,0,0.05044837,114.0,27.5,118.7,40.0,1.3,0.0,13.35,False,False
3930160,Robin Aime Robert Le Normand,Spain,Dominik Livaković,Blocked,0,0.108392105,114.2,35.6,119.8,38.1,0.2,-1.9,6.13,False,False
3930160,Mateo Kovačić,Croatia,Unai Simón Mendibil,Wayward,0,0.099854395,115.1,34.4,118.5,36.3,1.5,-3.7,3.89,False,False
3930160,Lovro Majer,Croatia,Unai Simón Mendibil,Off T,0,0.10645112,116.5,50.1,118.9,44.9,1.1,4.9,5.73,False,False
3930160,Ante Budimir,Croatia,Unai Simón Mendibil,Blocked,0,0.20600665,117.0,37.0,120.0,42.1,0.0,2.1,5.92,False,False
3930160,Álvaro Borja Morata Martín,Spain,Dominik Livaković,Wayward,0,0.2103611,117.4,34.5,119.1,37.0,0.9,-3.0,3.02,False,False
3930160,Andrej Kramarić,Croatia,Unai Simón Mendibil,Saved,0,0.71037304,118.4,40.0,119.5,39.9,0.5,-0.1,1.1,False,False
3930161,Kristjan Asllani,Albania,Gianluigi Donnarumma,Blocked,0,0.008601317,92.6,22.7,118.8,39.2,1.2,-0.8,30.96,False,False
3930161,Jasir Asani,Albania,Gianluigi Donnarumma,Off T,0,0.023186801,93.3,50.5,118.1,41.1,1.9,1.1,26.52,False,False
3930161,Federico Dimarco,Italy,Thomas Strakosha,Saved,0,0.009818552,95.3,22.5,116.2,37.3,3.8,-2.7,25.61,False,False
3930161,Federico Chiesa,Italy,Thomas Strakosha,Blocked,0,0.027081154,95.4,34.3,116.6,38.8,3.4,-1.2,21.67,False,False
3930161,Kristjan Asllani,Albania,Gianluigi Donnarumma,Off T,0,0.028912615,97.3,43.8,113.9,43.1,6.1,3.1,16.61,False,False
3930161,Gianluca Scamacca,Italy,Thomas Strakosha,Blocked,0,0.03734544,97.7,44.6,117.9,40.5,2.1,0.5,20.61,False,False
3930161,Mario Mitaj,Albania,Gianluigi Donnarumma,Off T,0,0.030680664,100.7,25.2,118.0,37.8,2.0,-2.2,21.4,False,False
3930161,Nicolò Barella,Italy,Thomas Strakosha,Goal,1,0.0846303,100.8,36.7,117.1,39.2,2.9,-0.8,16.49,False,False
3930161,Federico Chiesa,Italy,Thomas Strakosha,Off T,0,0.03460156,101.6,52.7,118.6,41.7,1.4,1.7,20.25,False,False
3930161,Berat Djimsiti,Albania,Gianluigi Donnarumma,Wayward,0,0.05804902,103.5,35.1,118.2,37.2,1.8,-2.8,14.85,False,False
3930161,Gianluca Scamacca,Italy,Thomas Strakosha,Blocked,0,0.05321112,104.8,50.9,119.0,43.1,1.0,3.1,16.2,False,False
3930161,Federico Dimarco,Italy,Thomas Strakosha,Blocked,0,0.015797285,105.2,23.6,118.4,37.6,1.6,-2.4,19.24,False,False
3930161,Lorenzo Pellegrini,Italy,Thomas Strakosha,Off T,0,0.20114782,105.9,42.6,117.6,41.5,2.4,1.5,11.75,False,False
3930161,Jasir Asani,Albania,Gianluigi Donnarumma,Blocked,0,0.014936902,106.8,57.6,118.1,43.2,1.9,3.2,18.3,False,False
3930161,Lorenzo Pellegrini,Italy,Thomas Strakosha,Off T,0,0.11972189,109.0,36.9,118.5,40.5,1.5,0.5,10.16,False,False
3930161,Federico Chiesa,Italy,Thomas Strakosha,Blocked,0,0.015626727,111.0,57.1,119.6,43.3,0.4,3.3,16.26,False,False
3930161,Nedim Bajrami,Albania,Gianluigi Donnarumma,Goal,1,0.08619496,111.8,51.9,118.4,43.6,1.6,3.6,10.6,False,False
3930161,Lorenzo Pellegrini,Italy,Thomas Strakosha,Wayward,0,0.050647445,112.8,31.8,119.0,38.8,1.0,-1.2,9.35,False,False
3930161,Riccardo Calafiori,Italy,Thomas Strakosha,Blocked,0,0.10085189,112.8,39.8,119.0,39.8,1.0,-0.2,6.2,False,False
3930161,Davide Frattesi,Italy,Thomas Strakosha,Saved to Post,0,0.21950644,113.1,50.5,116.4,46.2,3.6,6.2,5.42,False,False
3930161,Rey Manaj,Albania,Gianluigi Donnarumma,Saved,0,0.104034275,114.6,51.8,116.3,48.8,3.7,8.8,3.45,False,False
3930161,Gianluca Scamacca,Italy,Thomas Strakosha,Saved,0,0.08583342,114.8,50.6,117.4,46.1,2.6,6.1,5.2,False,False
3930161,Riccardo Calafiori,Italy,Thomas Strakosha,Blocked,0,0.1803363,115.6,39.0,116.8,38.3,3.2,-1.7,1.39,False,False
3930161,Giovanni Di Lorenzo,Italy,Thomas Strakosha,Blocked,0,0.07586851,116.2,31.1,119.5,37.8,0.5,-2.2,7.47,False,False
3930161,Alessandro Bastoni,Italy,Thomas Strakosha,Goal,1,0.1377708,117.6,45.7,119.4,43.0,0.6,3.0,3.24,False,False
3930162,Christian Dannemann Eriksen,Denmark,Jan Oblak,Blocked,0,0.03012717,89.0,35.6,115.6,40.1,4.4,0.1,26.98,False,False
3930162,Benjamin Šeško,Slovenia,Kasper Schmeichel,Off T,0,0.022961853,89.6,43.4,118.9,39.8,1.1,-0.2,29.52,False,False
3930162,Žan Karničnik,Slovenia,Kasper Schmeichel,Off T,0,0.0077642933,90.2,57.0,118.0,43.4,2.0,3.4,30.95,False,False
3930162,Erik Janža,Slovenia,Kasper Schmeichel,Wayward,0,0.02002185,92.1,32.2,118.7,38.8,1.3,-1.2,27.41,False,False
3930162,Benjamin Šeško,Slovenia,Kasper Schmeichel,Post,0,0.032746676,94.7,44.0,117.3,41.8,2.7,1.8,22.71,False,False
