match_id,player,team,gk_name,outcome,is_goal,xg,shot_x,shot_y,gk_x,gk_y,dist_off_line,lateral_offset,shot_angle_deg,goal_coverage_pct,open_goal_pct
3930159,Granit Xhaka,Switzerland,Péter Gulácsi,Saved,0,0.044237033,116.5,49.9,118.7,42.2,1.3,2.2,16.54,0.3977,0.6023
3930160,Andrej Kramarić,Croatia,Unai Simón Mendibil,Off T,0,0.013197766,86.3,47.4,116.7,40.7,3.3,0.7,12.93,0.2771,0.7229
3930160,Ivan Perišić,Croatia,Unai Simón Mendibil,Saved,0,0.006942888,87.3,24.7,118.7,38.1,1.3,-1.9,11.49,0.2604,0.7396
3930160,Mateo Kovačić,Croatia,Unai Simón Mendibil,Off T,0,0.019094488,91.0,30.4,118.6,39.8,1.4,-0.2,14.2,0.2627,0.7373
3930160,Lamine Yamal Nasraoui Ebana,Spain,Dominik Livaković,Blocked,0,0.042338703,91.3,45.4,119.5,40.0,0.5,0.0,15.34,0.2544,0.7456
3930160,Daniel Olmo Carvajal,Spain,Dominik Livaković,Blocked,0,0.027441183,93.9,39.0,117.8,39.9,2.2,-0.1,17.4,0.273,0.727
3930160,Álvaro Borja Morata Martín,Spain,Dominik Livaković,Saved,0,0.05367552,98.8,47.5,119.0,40.9,1.0,0.9,19.1,0.2624,0.7376
3930160,Joško Gvardiol,Croatia,Unai Simón Mendibil,Blocked,0,0.018449154,101.2,24.0,118.5,37.1,1.5,-2.9,14.22,0.2717,0.7283
3930160,Ivan Perišić,Croatia,Unai Simón Mendibil,Blocked,0,0.035310246,101.4,28.7,116.4,37.6,3.6,-2.4,18.01,0.31,0.69
3930160,Marcelo Brozović,Croatia,Unai Simón Mendibil,Saved,0,0.07775181,101.8,40.2,117.4,40.5,2.6,0.5,24.79,0.2917,0.7083
3930160,Mateo Kovačić,Croatia,Unai Simón Mendibil,Saved,0,0.06378076,102.8,38.7,116.8,40.6,3.2,0.6,26.05,0.3071,0.6929
3930160,Fabián Ruiz Peña,Spain,Dominik Livaković,Goal,1,0.056130085,103.9,38.7,117.6,38.7,2.4,-1.3,27.74,0.2938,0.7062
3930160,Álvaro Borja Morata Martín,Spain,Dominik Livaković,Goal,1,0.4253404,104.1,39.9,113.1,39.9,6.9,-0.1,28.24,0.4417,0.5583
3930160,Lamine Yamal Nasraoui Ebana,Spain,Dominik Livaković,Saved Off Target,0,0.04807823,106.5,49.9,117.1,43.0,2.9,3.0,22.23,0.3184,0.6816
3930160,Ante Budimir,Croatia,Unai Simón Mendibil,Off T,0,0.048898492,107.7,39.3,118.8,41.1,1.2,1.1,35.93,0.277,0.723
3930160,Ivan Perišić,Croatia,Unai Simón Mendibil,Off T,0,0.019089911,107.8,27.5,119.7,37.8,0.3,-2.2,18.66,0.2563,0.7437
3930160,Lamine Yamal Nasraoui Ebana,Spain,Dominik Livaković,Saved,0,0.28168085,108.6,48.3,116.5,43.1,3.5,3.1,26.51,0.3608,0.6392
3930160,Ferrán Torres García,Spain,Dominik Livaković,Blocked,0,0.012741043,109.6,57.8,117.8,45.2,2.2,5.2,11.5,0.3171,0.6829
3930160,Josip Stanišić,Croatia,Unai Simón Mendibil,Blocked,0,0.22294979,111.9,47.8,118.5,41.4,1.5,1.4,30.4,0.3068,0.6932
3930160,Daniel Carvajal Ramos,Spain,Dominik Livaković,Goal,1,0.30100337,112.7,42.4,119.0,40.4,1.0,0.4,53.6,0.2897,0.7103
3930160,Joško Gvardiol,Croatia,Unai Simón Mendibil,Off T,0,0.05044837,114.0,27.5,118.7,40.0,1.3,0.0,15.23,0.2274,0.7726
3930160,Robin Aime Robert Le Normand,Spain,Dominik Livaković,Blocked,0,0.108392105,114.2,35.6,119.8,38.1,0.2,-1.9,51.43,0.2589,0.7411
3930160,Mateo Kovačić,Croatia,Unai Simón Mendibil,Wayward,0,0.099854395,115.1,34.4,118.5,36.3,1.5,-3.7,44.88,0.3224,0.6776
3930160,Lovro Majer,Croatia,Unai Simón Mendibil,Off T,0,0.10645112,116.5,50.1,118.9,44.9,1.1,4.9,15.91,0.3646,0.6354
3930160,Ante Budimir,Croatia,Unai Simón Mendibil,Blocked,0,0.20600665,117.0,37.0,120.0,42.1,0.0,2.1,85.24,0.25,0.75
3930160,Álvaro Borja Morata Martín,Spain,Dominik Livaković,Wayward,0,0.2103611,117.4,34.5,119.1,37.0,0.9,-3.0,44.71,0.3824,0.6176
3930160,Andrej Kramarić,Croatia,Unai Simón Mendibil,Saved,0,0.71037304,118.4,40.0,119.5,39.9,0.5,-0.1,136.4,0.3636,0.6364
3930161,Kristjan Asllani,Albania,Gianluigi Donnarumma,Blocked,0,0.008601317,92.6,22.7,118.8,39.2,1.2,-0.8,11.97,0.2615,0.7385
3930161,Jasir Asani,Albania,Gianluigi Donnarumma,Off T,0,0.023186801,93.3,50.5,118.1,41.1,1.9,1.1,14.82,0.2692,0.7308
3930161,Federico Dimarco,Italy,Thomas Strakosha,Saved,0,0.009818552,95.3,22.5,116.2,37.3,3.8,-2.7,12.38,0.2955,0.7045
3930161,Federico Chiesa,Italy,Thomas Strakosha,Blocked,0,0.027081154,95.4,34.3,116.6,38.8,3.4,-1.2,17.57,0.2901,0.7099
3930161,Kristjan Asllani,Albania,Gianluigi Donnarumma,Off T,0,0.028912615,97.3,43.8,113.9,43.1,6.1,3.1,19.47,0.3156,0.6844
3930161,Gianluca Scamacca,Italy,Thomas Strakosha,Blocked,0,0.03734544,97.7,44.6,117.9,40.5,2.1,0.5,19.55,0.276,0.724
3930161,Mario Mitaj,Albania,Gianluigi Donnarumma,Off T,0,0.030680664,100.7,25.2,118.0,37.8,2.0,-2.2,15.02,0.2789,0.7211
3930161,Nicolò Barella,Italy,Thomas Strakosha,Goal,1,0.0846303,100.8,36.7,117.1,39.2,2.9,-0.8,22.91,0.2945,0.7055
3930161,Federico Chiesa,Italy,Thomas Strakosha,Off T,0,0.03460156,101.6,52.7,118.6,41.7,1.4,1.7,16.92,0.2706,0.7294
3930161,Berat Djimsiti,Albania,Gianluigi Donnarumma,Wayward,0,0.05804902,103.5,35.1,118.2,37.2,1.8,-2.8,25.22,0.2806,0.7194
