rank,gk_name,matches_played,shots_faced,saves,save_pct,xg_faced,goals_conceded,goals_prevented,sweeper_per_match,claims_per_match,z_save_pct,z_goals_prevented,z_sweeper_per_match,z_claims_per_match,z_goals_conceded,z_gp_per_match,z_xg_faced,composite_score
1,Koen Casteels,4,57,14,93.33333333333331,3.9283254447,1,2.9283254447,1.25,0.0,2.084523679082712,1.4051437860131482,-0.0811849482909155,0.0,1.7158989555846642,1.3384514624272013,0.6568874465751631,1.2765695821442447
2,Unai Simón Mendibil,6,65,14,82.35294117647058,5.944792861,3,2.944792861,1.5,0.0,1.0186137454138482,1.4151867411579593,0.2161785251002285,0.0,0.8396952335839847,0.8274108482817313,-0.1644861793146768,0.9172957851528729
3,Fehmi Mert Günok,4,58,15,78.94736842105263,6.1948474094,4,2.1948474094000003,1.5,0.0,0.6880213787684302,0.9578187852950872,0.2161785251002285,0.0,0.4015933725836449,0.9500716727827996,-0.2663416367494515,0.6142291045072084
4,Anatolii Trubin,2,26,8,88.88888888888889,1.3801231105,1,0.3801231105,0.5,0.0,1.6530839440262686,-0.1489240334949846,-0.9732753684643478,0.0,1.7158989555846642,0.1904441434505644,1.694854226411995,0.4694003617734502
5,Jan Oblak,4,66,14,73.68421052631578,7.80046908,5,2.80046908,0.75,0.0,0.1771059030436913,1.3271682425357711,-0.6759118950732037,0.0,-0.0365084884166948,1.270750964747576,-0.9203642521051252,0.41260302269797716
6,Manuel Neuer,5,45,10,76.92307692307693,4.176194419,3,1.1761944189999998,1.4,0.0,0.491515426566609,0.3365746201909989,0.0972331357437708,0.0,0.8396952335839847,0.2861305063108702,0.555922245491003,0.3638102387567964
7,Mike Maignan,6,54,15,71.42857142857143,7.993123218,6,1.993123218,1.6666666666666667,0.0,-0.0418578722669095,0.8347935961005015,0.4144208406943247,0.0,-0.4746103494170346,0.4914687223455139,-0.9988386309086752,0.2943224881175479
8,Martin Dúbravka,4,54,12,70.58823529411765,6.1905889035,5,1.1905889035,2.5,0.0,-0.1234326120885061,0.3453533599478957,1.405632418664805,0.0,-0.0365084884166948,0.4183124536938249,-0.2646070069688352,0.29103790631326293
9,Giorgi Mamardashvili,4,106,28,77.77777777777779,10.3897283929,8,2.3897283929000004,0.25,0.0,0.574484606385156,1.076670518937552,-1.270638841855492,0.0,-1.350814071417714,1.0532619957847245,-1.975054892288176,0.22350283012359481
10,Jindřich Staněk,3,24,7,77.77777777777779,3.0174335257,2,1.0174335257,0.3333333333333333,0.0,0.574484606385156,0.2397513844680975,-1.171517684058444,0.0,1.2777970945843244,0.506204415808338,1.0279237411638549,0.20831042332904678
