50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,ball_recovery_offensive,block_deflection,dribble_no_touch,dribble_overrun,miscontrol_aerial_won,shot_deflected,shot_one_on_one,goalkeeper_shot_saved_to_post,shot_saved_to_post,block_offensive,goalkeeper_shot_saved_off_target,shot_saved_off_target,foul_committed_penalty,foul_won_penalty,pass_deflected,shot_redirect,goalkeeper_punched_out,shot_open_goal,block_save_block,goalkeeper_success_in_play,goalkeeper_penalty_saved_to_post,shot_follows_dribble,type_name,player_name,team_name,position_name
,,,,,,,,,,,,,,,,1.364128,,,,,,,,,,,,,121d8817-827d-40a1-9e26-35441eb7d58f,2187,,,"[5.3, 39.5]",3930173,52,True,,,1.0877606,,Left Foot,,,"[12.8, 53.8]",,Ground Pass,,16.147446,,,,,Stefan de Vrij,7787.0,,,,,,Goal Kick,2,From Goal Kick,Bart Verbruggen,37274.0,Goalkeeper,79,Netherlands,941,['acd2143d-c85c-414e-9ee0-19be4bed6ae3'],11,,,,,,,,,,,,,,,,Netherlands,941,00:07:11.417,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Bart Verbruggen,Netherlands,Goalkeeper
,,,,,,,,,,,,,,,,0.974504,,,,,,,,,,,,,7ac004dc-bc88-45a2-b7d7-41ad60cfdc27,2280,,,"[6.9, 31.6]",3930173,55,,,,1.6782243,,Right Foot,,,"[5.8, 41.8]",,Ground Pass,,10.259142,,,,,Mike Maignan,3761.0,,,,,,Goal Kick,2,From Goal Kick,William Saliba,17592.0,Left Center Back,81,France,771,['22412612-069d-4bf4-ad5c-d57b2a26bf15'],16,,,,,,,,,,,,,,,,France,771,00:10:16.557,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,William Saliba,France,Left Center Back
,,,,,,,,,,,,,,,,2.335133,,,,,,,,,,,,,7e661efd-44e7-4ec3-a68a-5c415c18d809,2336,,,"[5.5, 30.6]",3930173,56,,,,1.3764714,,Right Foot,,,"[9.2, 49.4]",,Ground Pass,,19.160637,,,,,Stefan de Vrij,7787.0,,,,,,Goal Kick,2,From Goal Kick,Virgil van Dijk,3669.0,Left Center Back,83,Netherlands,941,['aec0f4e3-bef1-4997-813d-7ef81d4b5562'],54,,,,,,,,,,,,,,,,Netherlands,941,00:11:54.498,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Virgil van Dijk,Netherlands,Left Center Back
,,,,,,,,,,,,,,,,2.290444,,,,,,,,,,,,,8adfe984-c610-4955-bf5e-4cdd1d89c1d6,2481,,,"[6.0, 43.4]",3930173,60,True,,,0.63583845,,Right Foot,,,"[22.8, 55.8]",,Ground Pass,,20.880613,,,,,Stefan de Vrij,7787.0,,,,,,Goal Kick,2,From Goal Kick,Bart Verbruggen,37274.0,Goalkeeper,87,Netherlands,941,['cee8f711-2f20-4c3b-9de0-da2a6a40bb1d'],10,,,,,,,,,,,,,,,,Netherlands,941,00:15:10.749,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Bart Verbruggen,Netherlands,Goalkeeper
,,,,,,,,,,,,,,,,1.639998,,,,,,,,,,,,,0467b296-ba9a-455d-82fa-a1bb3eb2229f,2530,,,"[5.8, 30.8]",3930173,62,True,,,1.4831097,,Left Foot,,,"[6.6, 39.9]",,Ground Pass,,9.1350975,,,,,Bart Verbruggen,37274.0,,,,,,Goal Kick,2,From Goal Kick,Virgil van Dijk,3669.0,Left Center Back,90,Netherlands,941,['42876087-752a-47bb-8cee-a648b8b58578'],38,,,,,,,,,,,,,,,,Netherlands,941,00:17:38.051,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Virgil van Dijk,Netherlands,Left Center Back
,,,,,,,,,,,,,,,,1.013827,,,,,,,,,,,,,99a2ea13-5f72-45a1-87fe-6f4a25fa339a,2755,,,"[6.0, 31.8]",3930173,67,True,,,1.4711276,,Right Foot,,,"[6.6, 37.8]",,Ground Pass,,6.0299253,,,,,Bart Verbruggen,37274.0,,,,,,Goal Kick,2,From Goal Kick,Virgil van Dijk,3669.0,Left Center Back,96,Netherlands,941,['49a90a2b-264c-4699-a890-6e6ae8926b0c'],45,,,,,,,,,,,,,,,,Netherlands,941,00:22:45.538,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Virgil van Dijk,Netherlands,Left Center Back
,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,4cdf8602-4d01-48ea-9495-d3cf7d7cea12,2853,,,"[5.4, 45.7]",3930173,74,True,,,0.9190987,,Right Foot,,,"[12.8, 55.4]",,Ground Pass,,12.20041,,,,,Stefan de Vrij,7787.0,,,,,,Goal Kick,2,From Goal Kick,Bart Verbruggen,37274.0,Goalkeeper,99,Netherlands,941,['82c23e81-f4a3-4c7e-b8f6-110561bcddeb'],47,,,,,,,,,,,,,,,,Netherlands,941,00:29:47.268,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Bart Verbruggen,Netherlands,Goalkeeper
,,,,,,,,,,,,,,,,1.28477,,,,,,,,,,,,,1789bdce-17c1-437b-b4d0-191f810313da,3092,,,"[5.9, 42.9]",3930173,81,,,,1.2029246,,Right Foot,,,"[9.6, 52.5]",,Ground Pass,,10.288342,,,,,Stefan de Vrij,7787.0,,,,,,Goal Kick,2,From Goal Kick,Bart Verbruggen,37274.0,Goalkeeper,107,Netherlands,941,['654abd50-ef91-4304-95de-b171c366216d'],27,,,,,,,,,,,,,,,,Netherlands,941,00:36:27.189,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Bart Verbruggen,Netherlands,Goalkeeper
,,,,,,,,,,,,,,,,2.271388,,,,,,,,,,,,,3d1bda5a-8ea1-42f4-97a3-9d9a1a1d24e7,3630,,,"[7.0, 38.8]",3930173,94,True,,,-0.9434881,,Right Foot,,,"[18.6, 22.8]",,Ground Pass,,19.76259,,,,,William Saliba,17592.0,,,,,,Goal Kick,2,From Goal Kick,Mike Maignan,3761.0,Goalkeeper,121,France,771,['4099a04e-711e-4ff7-beb0-93a203fec8fb'],1,,,,,,,,,,,,,,,,France,771,00:49:01.630,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Mike Maignan,France,Goalkeeper
,,,,,,,,,,,,,,,,3.314688,,,,,,,,,,,,,979749cb-28d3-4e23-a386-97525f518b0b,3679,,,"[5.8, 45.2]",3930173,95,,,,0.13839993,,Right Foot,,,"[81.9, 55.8]",,High Pass,,76.834694,,,Unknown,,,,,,,,,Goal Kick,2,From Goal Kick,Bart Verbruggen,37274.0,Goalkeeper,122,Netherlands,941,,18,,,,,,,,,,,,,,,,Netherlands,941,00:50:18.350,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Bart Verbruggen,Netherlands,Goalkeeper
