50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,ball_recovery_offensive,block_deflection,dribble_no_touch,dribble_overrun,miscontrol_aerial_won,shot_deflected,shot_one_on_one,goalkeeper_shot_saved_to_post,shot_saved_to_post,block_offensive,goalkeeper_shot_saved_off_target,shot_saved_off_target,foul_committed_penalty,foul_won_penalty,pass_deflected,shot_redirect,goalkeeper_punched_out,shot_open_goal,block_save_block,goalkeeper_success_in_play,goalkeeper_penalty_saved_to_post,shot_follows_dribble,type_name,player_name,team_name,position_name,gk_action,gk_outcome
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[1.4, 40.5]",,Set,,Shot Faced,bce9929d-d214-4e6c-8703-550e49b10fe4,5074,,,"[1.4, 40.5]",3942349,117,,,,,,,,,,,,,,,,,,,,,,,,,,4,From Corner,Diogo Meireles Costa,32975.0,Goalkeeper,173,France,771,['ad1ecf69-594b-4046-b4db-a105edf81867'],43,,,,,,,,,,,,,,,,Portugal,780,00:12:43.795,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Diogo Meireles Costa,Portugal,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,Both Hands,,Success,Set,Standing,Shot Saved,119bc676-cb28-413a-8a1b-2f0dfff82eaa,5159,,,"[1.8, 40.0]",3942349,119,,,,,,,,,,,,,,,,,,,,,,,,,,4,Regular Play,Mike Maignan,3761.0,Goalkeeper,177,France,771,['e06c3354-b3b8-4f1f-b96e-cf01bbe0fbda'],54,,,,,,,,,,,,,,,,France,771,00:14:54.047,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Mike Maignan,France,Goalkeeper,Shot Saved,Success
,,,,,,,,,,,,,,,,0.0,,,,,,,,,No Touch,Set,Diving,Penalty Conceded,8393c477-2868-4392-be9b-22dc84985054,5177,,,"[1.0, 40.0]",3942349,120,,,,,,,,,,,,,,,,,,,,,,,,,,5,Other,Diogo Meireles Costa,32975.0,Goalkeeper,179,France,771,['9b29987f-991b-409f-9142-318360943a5a'],4,,,,,,,,,,,,,,,,Portugal,780,00:00:04.480,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Diogo Meireles Costa,Portugal,Goalkeeper,Penalty Conceded,No Touch
,,,,,,,,,,,,,,,,0.0,,,,,,,,,No Touch,Set,Diving,Penalty Conceded,9f7e041a-6057-46a7-9c44-6fc29accabac,5179,,,"[1.0, 40.0]",3942349,120,,,,,,,,,,,,,,,,,,,,,,,,,,5,Other,Mike Maignan,3761.0,Goalkeeper,180,Portugal,780,['9cb95307-d717-4140-b45a-14df42aae61b'],59,,,,,,,,,,,,,,,,France,771,00:00:59.878,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Mike Maignan,France,Goalkeeper,Penalty Conceded,No Touch
,,,,,,,,,,,,,,,,0.0,,,,,,,,,No Touch,Set,Diving,Penalty Conceded,df6886d4-4095-4eea-b18f-3dc01c90be8a,5181,,,"[1.0, 40.0]",3942349,121,,,,,,,,,,,,,,,,,,,,,,,,,,5,Other,Diogo Meireles Costa,32975.0,Goalkeeper,181,France,771,['4fcbe32a-de66-432b-935b-f6232e8d81c9'],52,,,,,,,,,,,,,,,,Portugal,780,00:01:52.493,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Diogo Meireles Costa,Portugal,Goalkeeper,Penalty Conceded,No Touch
,,,,,,,,,,,,,,,,0.0,,,,,,,,,No Touch,Set,Diving,Penalty Conceded,926cc07f-342f-40bc-827d-0af4447d86fc,5183,,,"[1.0, 40.0]",3942349,122,,,,,,,,,,,,,,,,,,,,,,,,,,5,Other,Mike Maignan,3761.0,Goalkeeper,182,Portugal,780,['dfa5e01b-f1d9-45ae-af53-23775440153d'],35,,,,,,,,,,,,,,,,France,771,00:02:35.177,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Mike Maignan,France,Goalkeeper,Penalty Conceded,No Touch
,,,,,,,,,,,,,,,,0.0,,,,,,,,,No Touch,Set,Diving,Penalty Conceded,13fb56c6-fd30-47a8-b849-8d1bf0b26c96,5185,,,"[1.0, 40.0]",3942349,123,,,,,,,,,,,,,,,,,,,,,,,,,,5,Other,Diogo Meireles Costa,32975.0,Goalkeeper,183,France,771,['e90b5fab-cb19-4d4a-a33b-80a164f3a8a0'],26,,,,,,,,,,,,,,,,Portugal,780,00:03:26.524,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Diogo Meireles Costa,Portugal,Goalkeeper,Penalty Conceded,No Touch
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Set,,Shot Faced,509151f7-cbb7-492f-922d-ccaddd6ebe3e,5187,,,"[1.0, 40.0]",3942349,124,,,,,,,,,,,,,,,,,,,,,,,,,,5,Other,Mike Maignan,3761.0,Goalkeeper,184,Portugal,780,['9175410d-95be-4236-8ef8-8b29d97e5231'],20,,,,,,,,,,,,,,,,France,771,00:04:20.829,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Mike Maignan,France,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,No Touch,Set,Diving,Penalty Conceded,3cb822c5-e95e-4104-965b-5fc4ad4e6aa5,5189,,,"[1.0, 40.0]",3942349,125,,,,,,,,,,,,,,,,,,,,,,,,,,5,Other,Diogo Meireles Costa,32975.0,Goalkeeper,185,France,771,['9ce1b13a-9b06-4f3a-aa93-fe78c7b59523'],22,,,,,,,,,,,,,,,,Portugal,780,00:05:22.882,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Diogo Meireles Costa,Portugal,Goalkeeper,Penalty Conceded,No Touch
,,,,,,,,,,,,,,,,0.0,,,,,,,,,No Touch,Set,Diving,Penalty Conceded,ce43e879-5b05-443c-822d-701d6e5fdb76,5191,,,"[1.0, 40.0]",3942349,126,,,,,,,,,,,,,,,,,,,,,,,,,,5,Other,Mike Maignan,3761.0,Goalkeeper,186,Portugal,780,['e3175343-0ed2-49a2-9883-08bf3a46b645'],22,,,,,,,,,,,,,,,,France,771,00:06:22.917,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Mike Maignan,France,Goalkeeper,Penalty Conceded,No Touch
